step,portfolio_value
0,10000.0
1,10000.0
2,10008.63
3,10047.13
4,10068.15
5,10094.82
6,9939.38
7,9904.67
8,9846.73
9,9852.14
10,9929.14
11,9982.189999999999
12,10056.789999999999
13,9970.91
14,9994.25
15,10192.43
16,10127.15
17,10037.31
18,10077.369999999999
19,10027.15
20,10010.15
21,10077.14
22,10078.109999999999
23,10040.63
24,10057.13
25,10375.38
26,10539.312012
27,10539.312012
28,10450.752012
29,10423.902012
30,10525.162012
31,10471.302012
